playerId,player,playername,position,team,playerposition,playerteam,vor,points,actualPoints,overallECR,overallRank,positionRank,cost,salary,dropoff,adp,adpdiff,auctionValue,upper,lower,risk,sleeper
"2532838","null","Coby Fleener","TE","NO","TE","NO","5.8029","154.1015","null","74.1","71","5","null","null","2.4355","72.59","-1.59","9","166.2976","141.7","4.1159","null",
"2540156","null","Giovani Bernard","RB","CIN","RB","CIN","5.6337","158.8177","null","60.8","72","24","null","null","0.5766","65.255","6.745","11","163.5357","148.338","4.8028","46",
"2540258","null","Travis Kelce","TE","KC","TE","KC","5.3955","153.6942","null","59.1","73","6","null","null","8.0933","61.04","11.96","13","164.2046","149","3.4916","28",
"2552461","null","Duke Johnson","RB","CLE","RB","CLE","5.2106","158.3946","null","67.5","74","25","null","null","0.4269","68.865","5.135","11","164.9524","142.1991","8.115","44",
"71345","null","Rashad Jennings","RB","NYG","RB","NYG","4.9036","158.0876","null","80.9","75","26","null","null","0.3791","86.54","-11.54","6","162.4918","147.5596","4.5951","45",
"497188","null","Ryan Mathews","RB","PHI","RB","PHI","4.6637","157.8477","null","61.2","76","27","null","null","1.243","66.65","9.35","10","169.0264","140.8597","7.3049","32",
"2550353","null","Allen Hurns","WR","JAC","WR","JAC","4.5672","156.986","null","76.1","77","36","null","null","6.8508","70.555","6.445","11","173.4473","133.7125","5.1145","51",
"2552374","null","Ameer Abdullah","RB","DET","RB","DET","4.3853","157.5693","null","81.8","78","28","null","null","2.3845","84.23","-6.23","9","170.6449","145.25","4.7396","39",
"2505996","null","Eli Manning","QB","NYG","QB","NYG","2.8435","284.0324","null","83.2","79","9","null","null","2.0876","92.14","-13.14","8","292.7042","264.4005","3.7189","26",
"2506404","null","Frank Gore","RB","IND","RB","IND","2.4563","155.6402","null","66.5","80","29","null","null","3.6844","81.005","-1.005","8","169.3987","132.3356","4.0325","37",
"2552635","null","Matt Jones","RB","WAS","RB","WAS","1.5453","154.7293","null","77.1","81","30","null","null","8.4612","78.605","2.395","10","170.6863","140.7324","5.7987","35",
"1060","null","Gary Barnidge","TE","CLE","TE","CLE","1.3393","149.638","null","88.1","82","7","null","null","8.966","85.045","-3.045","7","155.4565","140.8545","3.2579","27",
"2505245","null","Carson Palmer","QB","ARI","QB","ARI","1.3092","282.4981","null","75","83","10","null","null","1.9638","82.035","0.965","9","287.5699","274.4945","3.6946","29",
"2539336","null","Tavon Austin","WR","LA","WR","LA","0.6173","153.0361","null","110.1","84","37","null","null","6.4309","111.05","-27.05","5","172.7513","132.6767","5.2347","45",
"2552033","null","Jameis Winston","QB","TB","QB","TB","0.2026","281.3915","null","117","85","11","null","null","2.4506","116.94","-31.94","11","293.7948","268.88","5.1533","22",
"100009","null","Broncos","DST","DEN","DST","DEN","0","146.8864","null","141.2","86","1","null","null","6.3979","104.44","-18.44","5","148.4028","111.4","3.1498","null",
"2506922","null","Stephen Gostkowski","K","NE","K","NE","0","157.0288","null","200.6","86","1","null","null","8.6268","132.285","-46.285","3","162.9999","141.1265","1.905","null",
"2532820","null","Kirk Cousins","QB","WAS","QB","WAS","-1.5118","279.6771","null","113.3","88","12","null","null","2.1725","111.415","-23.415","8","297.1676","264.9405","4.6311","16",
"79860","null","Matthew Stafford","QB","DET","QB","DET","-2.9841","278.2048","null","116.7","89","13","null","null","2.6435","120.28","-31.28","7","293.3369","257.9648","4.4226","13",
"79555","null","Arian Foster","RB","MIA","RB","MIA","-4.0016","149.1824","null","75.6","90","31","null","null","5.8826","66.925","23.075","8","154.6696","142.703","5.8847","41",
"2495240","null","Tyrod Taylor","QB","BUF","QB","BUF","-4.3845","276.8044","null","109.1","91","14","null","null","2.5761","119.26","-28.26","6","288.365","266.7","4.4753","18",
"2550256","null","Willie Snead","WR","NO","WR","NO","-5.1845","147.2344","null","98.1","92","38","null","null","1.5012","97.79","-5.79","5","151.0994","135.2246","3.709","66",
"100026","null","Cardinals","DST","ARI","DST","ARI","-5.4058","141.4806","null","148.2","93","2","null","null","3.2386","116.63","-23.63","4","132.8992","96.2","2.7238","null",
"2495459","null","Torrey Smith","WR","SF","WR","SF","-6.4428","145.976","null","118.4","94","39","null","null","1.4828","127.395","-33.395","5","153.7441","124.5197","4.5916","46",
"2536340","null","Justin Tucker","K","BAL","K","BAL","-6.5086","150.5202","null","201.6","95","2","null","null","5.4142","164.735","-69.735","1","155.8522","139.5921","3.5653","null",
"2540158","null","Zach Ertz","TE","PHI","TE","PHI","-6.7348","141.5638","null","91.7","96","8","null","null","4.6029","89.725","6.275","7","145.5972","129.893","5.6579","24",
"2506581","null","Ryan Fitzpatrick","QB","NYJ","QB","NYJ","-6.8708","274.3181","null","143.5","97","15","null","null","1.033","155.18","-58.18","2","291.7927","252.3908","4.5431","14",
"2552608","null","Stefon Diggs","WR","MIN","WR","MIN","-6.9284","145.4904","null","102.5","98","40","null","null","2.2299","102.355","-4.355","7","162.5462","131.5496","4.1913","61",
"2543499","null","Derek Carr","QB","OAK","QB","OAK","-7.0504","274.1385","null","111.8","99","16","null","null","4.9593","103.03","-4.03","12","276.8562","269.4221","5.6626","27",
"100016","null","Chiefs","DST","KC","DST","KC","-7.39","139.4964","null","176.6","100","3","null","null","3.9807","138.16","-38.16","2","132.6068","112.6","3.0946","null",
"2505299","null","Antonio Gates","TE","SD","TE","SD","-8.5185","139.7801","null","96.4","101","9","null","null","5.7612","104.01","-3.01","4","145.9111","133.9975","3.5317","26",
"2495143","null","Andy Dalton","QB","CIN","QB","CIN","-8.7571","272.4318","null","124.6","102","17","null","null","7.595","133.445","-31.445","6","280.5091","262.7336","5.5642","21",
"2506400","null","Vincent Jackson","WR","TB","WR","TB","-8.9228","143.496","null","108.5","103","41","null","null","0.8303","121.965","-18.965","4","161.2214","121.3644","4.6021","54",
"2555295","null","Sterling Shepard","WR","NYG","WR","NYG","-9.3938","143.025","null","97.9","104","42","null","null","2.2105","88.565","15.435","10","161.875","122.5386","5.5001","47",
"2552471","null","T.J. Yeldon","RB","JAC","RB","JAC","-9.8302","143.3538","null","89.2","105","32","null","null","1.8164","94.47","10.53","9","150.4481","115.95","9.2135","36",
"100004","null","Panthers","DST","CAR","DST","CAR","-9.8989","136.9875","null","157.3","106","4","null","null","4.3652","123.75","-17.75","3","153.9768","115.6","5.9693","null",
"2543770","null","Charles Sims","RB","TB","RB","TB","-9.9381","143.2459","null","92.7","107","33","null","null","4.3214","98.215","8.785","5","154.716","133.21","4.9581","43",
"2552409","null","DeVante Parker","WR","MIA","WR","MIA","-10.1124","142.3064","null","93.1","108","43","null","null","5.6309","89.745","18.255","13","148.6223","122.6318","8.2003","53",
"2550545","null","Chris Boswell","K","PIT","K","PIT","-10.745","146.2838","null","233.8","109","3","null","null","2.6641","182.67","-73.67","1","153.6827","133.7896","4.1044","null",
"100020","null","Vikings","DST","MIN","DST","MIN","-12.8426","134.0438","null","184.9","110","5","null","null","3.9783","151.79","-41.79","2","127.0204","109.2","3.5237","null",
"2553432","null","Kevin White","WR","CHI","WR","CHI","-13.0963","139.3226","null","98.6","111","44","null","null","6.6613","95.175","15.825","12","146.8984","105.5561","5.2962","50",
"71309","null","Graham Gano","K","CAR","K","CAR","-13.1006","143.9281","null","213.2","112","4","null","null","0.6812","162.915","-50.915","1","148.3927","134.7839","3.409","null",
"927","null","Justin Forsett","RB","FA","RB","FA","-13.3551","139.8289","null","119","113","34","null","null","4.5016","112.12","0.88","6","147.6204","132.8","5.8671","10",
"2507374","null","Steven Hauschka","K","SEA","K","SEA","-13.7176","143.3111","null","205.2","114","5","null","null","1.7343","153.405","-39.405","1","148.1572","135.1","2.8092","null",
"2507232","null","Mason Crosby","K","GB","K","GB","-13.8461","143.1827","null","210.2","115","6","null","null","4.3048","172.42","-57.42","1","150.5353","129.9285","3.3809","null",
"2495353","null","Julius Thomas","TE","JAC","TE","JAC","-14.1569","134.1417","null","93.5","116","10","null","null","1.4812","94.73","21.27","6","155.629","113.3","7.0815","13",
"1062","null","Martellus Bennett","TE","NE","TE","NE","-14.4024","133.8963","null","114.8","117","11","null","null","5.0002","119.25","-2.25","4","146.7418","118.6497","4.0674","21",
"497149","null","LeGarrette Blount","RB","NE","RB","NE","-15.1639","138.0201","null","114","118","35","null","null","8.2214","109.785","8.215","3","154.756","112.4729","5.1323","26",
"2532956","null","Ryan Tannehill","QB","MIA","QB","MIA","-15.2622","265.9267","null","141.4","119","18","null","null","2.8281","155.045","-36.045","5","274.5586","246.6","4.5671","19",
"100013","null","Texans","DST","HOU","DST","HOU","-15.6855","131.2009","null","161.9","120","6","null","null","2.7545","136.42","-16.42","2","124.5584","107.6","2.5432","null",
"2505629","null","Jason Witten","TE","DAL","TE","DAL","-16.8739","131.4247","null","126.5","121","12","null","null","6.0667","140.44","-19.44","3","140.4731","123.9","3.5043","25",
"2495259","null","Dan Bailey","K","DAL","K","DAL","-17.0578","139.971","null","213","122","7","null","null","3.441","162.19","-40.19","1","149.5573","130.1","3.6378","null",
"2552466","null","Marcus Mariota","QB","TEN","QB","TEN","-17.4422","263.7467","null","129.3","123","19","null","null","1.5816","133.31","-10.31","10","275.5053","246.24","9.5746","20",
"100021","null","Patriots","DST","NE","DST","NE","-17.9564","128.93","null","180.1","124","7","null","null","1.031","163.24","-39.24","1","122.8067","98.5","2.0164","null",
"2555333","null","Corey Coleman","WR","CLE","WR","CLE","-18.3903","134.0285","null","102.4","125","45","null","null","4.2487","114.37","10.63","8","138.8124","120.412","6.4898","58",
"2506340","null","Alex Smith","QB","KC","QB","KC","-18.7383","262.4506","null","172.8","126","20","null","null","3.3596","171.67","-45.67","3","267.693","252.5","3.6037","28",
"100006","null","Bengals","DST","CIN","DST","CIN","-18.9236","127.9628","null","186.4","127","8","null","null","4.2871","161.67","-34.67","2","116.7249","104.2","1.7442","25",
"100030","null","Seahawks","DST","SEA","DST","SEA","-19.0512","127.8352","null","140","128","9","null","null","8.7351","113.84","14.16","4","119.8722","82.6","3.1928","21",
"2541556","null","Brandon McManus","K","DEN","K","DEN","-19.244","137.7847","null","229.6","129","8","null","null","2.5516","180.11","-51.11","1","143.0465","124.1","4.7807","13",
"310","null","Matt Ryan","QB","ATL","QB","ATL","-19.3093","261.8796","null","136.7","130","21","null","null","9.857","143.75","-13.75","6","265.3066","252.221","3.9283","23",
"2540020","null","Theo Riddick","RB","DET","RB","DET","-20.5494","132.6345","null","105.5","131","36","null","null","5.8948","111.175","19.825","4","148.5297","111.4","4.7379","31",
"2532790","null","Travis Benjamin","WR","SD","WR","SD","-21.1249","131.294","null","112.2","132","46","null","null","3.2487","112.7","19.3","5","151.287","100.1332","4.9066","42",
"2532968","null","Blair Walsh","K","MIN","K","MIN","-21.7535","135.2753","null","225.4","133","9","null","null","0.4757","184.48","-51.48","1","138.9949","131.5","3.9805","22",
"2550636","null","Cairo Santos","K","KC","K","KC","-21.8379","135.1909","null","230.6","134","10","null","null","1.2243","192.85","-58.85","1","138.2324","128","3.7645","23",
"238457","null","Zach Miller","TE","CHI","TE","CHI","-21.9312","126.3674","null","139","135","13","null","null","4.9019","152.74","-17.74","2","145.2672","111.9","4.8926","16",
"2550325","null","Chandler Catanzaro","K","ARI","K","ARI","-22.6205","134.4082","null","212.2","136","11","null","null","3.6549","168.9","-32.9","1","139.1136","115.8","2.9653","27",
"2503471","null","Adam Vinatieri","K","IND","K","IND","-23.5039","133.5249","null","214.8","137","12","null","null","5.8117","182.48","-45.48","1","140.6889","118.0132","3.7626","24",
"2533046","null","Dwayne Allen","TE","IND","TE","IND","-23.9501","124.3486","null","114.2","138","14","null","null","5.9483","128.02","9.98","4","135.525","112.3129","4.873","20",
"2537931","null","Josh Gordon","WR","CLE","WR","CLE","-24.1531","128.2658","null","null","139","47","null","null","1.471","60.58","78.42","9","143.9578","98.3254","5.4161","13",
"2530660","null","Kamar Aiken","WR","BAL","WR","BAL","-24.5941","127.8248","null","120.4","140","48","null","null","2.0898","119.615","20.385","4","150.0318","99.8165","6.7816","22",
"382","null","Joe Flacco","QB","BAL","QB","BAL","-24.8864","256.3025","null","165.6","141","22","null","null","10.6943","170.66","-29.66","3","265.528","237.4674","4.9966","25",
"2550189","null","Isaiah Crowell","RB","CLE","RB","CLE","-26.2212","126.9628","null","108.6","142","37","null","null","2.3115","118.365","23.635","4","135.328","110.41","4.7386","40",
"2504595","null","Steve Smith","WR","BAL","WR","BAL","-26.654","125.7648","null","126","143","49","null","null","1.0373","136.585","6.415","3","139.187","105.1536","4.7434","40",
"2507999","null","Chris Ivory","RB","JAC","RB","JAC","-26.6673","126.5167","null","92","144","38","null","null","4.7446","94.665","49.335","6","143.7389","102.1315","5.8371","30",
"2533040","null","Mohamed Sanu","WR","ATL","WR","ATL","-26.7138","125.7051","null","129.6","145","50","null","null","2.0774","140.39","4.61","3","141.2457","111.9811","4.3553","52",
"100027","null","Steelers","DST","PIT","DST","PIT","-27.37","119.5164","null","188","146","10","null","null","1.9655","174.25","-28.25","1","129.3413","106.4","5.2742","12",
"100017","null","Rams","DST","LA","DST","LA","-28.2026","118.6839","null","169.7","147","11","null","null","3.5983","158.89","-11.89","1","125.1944","111.4","3.1715","22",
"2539291","null","Markus Wheaton","WR","PIT","WR","PIT","-28.6689","123.7499","null","121.6","148","51","null","null","0.2979","123.81","24.19","4","142.5415","93.2141","5.2099","43",
"2532903","null","Rishard Matthews","WR","TEN","WR","TEN","-28.9134","123.5054","null","137.1","149","52","null","null","0.8534","144.225","4.775","3","149.8168","85.9484","6.6392","28",
"2346","null","Pierre Garcon","WR","WAS","WR","WAS","-29.0203","123.3986","null","150.1","150","53","null","null","2.2196","167.14","-17.14","2","144.5789","97.1","5.1472","32",
"2506677","null","Matt Prater","K","DET","K","DET","-29.047","127.9818","null","223.5","151","13","null","null","0.7312","193.01","-42.01","1","137.7632","118.0229","4.6619","17",
"2506264","null","Robbie Gould","K","CHI","K","CHI","-29.5841","127.4447","null","228.5","152","14","null","null","0.3945","196.96","-44.96","1","132.289","118.6","4.6816","15",
"2540148","null","Tyler Eifert","TE","CIN","TE","CIN","-29.7162","118.5825","null","null","153","15","null","null","0.551","102.465","50.535","10","145.0778","99.7","9.775","3",
